xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1086426,-0.07641602,-0.4575195,0.1075497,0.1209008,0.06054974,-9.820032,13.02124,1.116117,-9.230091,13.18195,-0.7602539,-0.2490234,0.7255859,0.7846565,0.1254275,0.03032825,-13.43132,44.40173,5.377106,-13.33063,44.74208,Unknown
-0.1235352,-0.08154297,-0.4455566,-0.2283282,0.02929771,-0.06158781,-9.826801,13.06632,1.115255,-10.00186,15.25529,-0.7521973,-0.2558594,0.7150879,0.2655725,0.2933664,0.04559542,-13.43602,44.4122,5.377745,-13.84876,44.72385,Unknown
-0.104248,-0.08178711,-0.4577637,-0.2435954,-0.1997099,0.259023,-9.83125,13.05497,1.118881,-9.882119,12.63583,-0.755127,-0.2648926,0.7268066,-0.1008396,-0.2257175,-0.03074045,-13.45237,44.40704,5.377314,-14.18399,44.30865,Unknown
-0.1079102,-0.0847168,-0.451416,-0.1214581,-0.1997099,0.06054974,-9.843174,13.05556,1.119729,-10.34412,13.22165,-0.7526855,-0.2521973,0.7250977,-0.2382443,-0.2409847,4.030328,-13.45792,44.40427,5.433739,-13.56649,44.43403,Unknown
-0.1113281,-0.07641602,-0.4482422,0.1380839,-0.1081069,-0.0310533,-9.832308,13.06811,1.119294,-9.394629,13.75731,-0.7497559,-0.2563477,0.7199707,-0.2077099,0.04909158,0.04559542,-13.46868,44.40589,5.434377,-13.85354,44.45165,Unknown
-0.1071777,-0.0793457,-0.4492188,0.2602212,0.02929771,-0.2447939,-9.827065,13.07159,1.115867,-9.748704,13.22184,-0.75,-0.2487793,0.729248,0.1739695,0.1559618,-0.06127481,-13.46447,44.40445,5.433519,-13.37749,44.22699,Unknown
-0.1079102,-0.08349609,-0.4643555,0.1533511,-0.1691756,0.06054974,-9.827106,13.0655,1.116715,-9.934235,12.88303,-0.7590332,-0.2453613,0.7265625,0.5098474,-0.02724427,0.01506107,-13.45106,44.4101,5.43373,-13.14395,44.7056,Unknown
-0.1103516,-0.07714844,-0.4516602,0.01594663,-0.031771,0.1063511,-9.81877,13.07457,1.118204,-9.421253,13.54103,-0.7570801,-0.2348633,0.7172852,0.4945802,-0.01197708,0.07612977,-13.42908,44.4235,5.434796,-12.69125,45.08802,Unknown
-0.1047363,-0.08154297,-0.4511719,0.03121376,0.1209008,0.04528236,-9.821664,13.0721,1.118838,-9.984851,12.86794,-0.7583008,-0.2487793,0.7145996,0.3113741,-0.02724427,-0.0002061129,-13.4248,44.43589,5.434793,-13.42863,45.06182,Unknown
-0.1062012,-0.07910156,-0.4543457,-0.1367252,-0.09283972,0.1979542,-9.819678,13.06865,1.121807,-9.621882,12.96807,-0.7478027,-0.2487793,0.7246094,0.06709921,0.07962596,0.1371985,-13.42406,44.43447,5.436851,-13.43702,44.30655,Unknown
