xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4375,-0.8134766,0.5429688,-2.574122,2.537641,-1.236847,-35.71902,19.8638,-44.38281,-49.39748,24.10011,-59.55111,-0.2155762,-0.244873,-0.333252,1.848008,4.029298,-1.084488,-21.58604,22.44776,-99.03688,-31.67307,27.53249,-135.6087,Unknown
-0.4448242,-0.8151855,0.5483398,-2.070305,1.835351,-1.145244,-36.01712,19.98069,-44.70078,-49.10235,24.35965,-59.4395,-0.2145996,-0.25,-0.3408203,2.275488,4.136168,-1.23716,-21.75968,22.5939,-99.79251,-31.82891,26.91744,-135.9698,Unknown
-0.4428711,-0.817627,0.5517578,-1.61229,2.140695,-1.404786,-36.30149,20.09404,-45.01236,-49.12963,24.17937,-59.3162,-0.2158203,-0.2531738,-0.3344727,2.061748,3.968229,-1.267694,-21.94332,22.74486,-100.5184,-32.45726,27.22523,-135.154,Unknown
-0.4313965,-0.8034668,0.5578613,-1.337481,2.629244,-1.297916,-36.56965,20.20679,-45.30209,-48.72654,23.79917,-58.54503,-0.2216797,-0.2509766,-0.3510742,1.649534,3.433878,-1.02342,-22.10485,22.88084,-101.2491,-31.15147,27.18834,-136.3541,Unknown
-0.4448242,-0.8093262,0.5432129,-1.658092,2.323901,-0.8857023,-36.84216,20.32514,-45.59892,-49.05784,24.52999,-59.53586,-0.2165527,-0.2512207,-0.3398438,1.695336,3.90716,-1.496702,-22.27663,23.02328,-101.9601,-31.94003,27.13098,-135.6971,Unknown
-0.4455566,-0.8122559,0.5402832,-1.291679,2.49184,-0.4734885,-37.10897,20.44622,-45.8889,-49.23299,24.54766,-59.74987,-0.2143555,-0.2526855,-0.3361816,0.840374,3.723954,-0.7486105,-22.46605,23.15771,-102.6402,-32.36506,27.00768,-135.414,Unknown
-0.4387207,-0.8017578,0.5332031,-1.12374,2.384969,-0.2597481,-37.36859,20.56227,-46.16974,-49.26416,24.49581,-59.74029,-0.2160645,-0.2565918,-0.3435059,0.0,3.159069,-0.5196033,-22.66283,23.2728,-103.3081,-32.30511,26.74482,-135.6802,Unknown
-0.4436035,-0.8110352,0.5439453,-0.7878625,2.232298,0.1219313,-37.61454,20.67025,-46.43521,-49.12595,24.43015,-59.52683,-0.2133789,-0.2495117,-0.3410645,0.3823588,2.60945,0.0147481,-22.84009,23.38152,-103.9636,-31.80692,26.79072,-136.0917,Unknown
-0.4387207,-0.8151855,0.5383301,-0.4214504,2.217031,0.2135344,-37.85989,20.77313,-46.6998,-49.57216,24.18468,-59.82156,-0.2084961,-0.2512207,-0.3432617,0.0006792545,3.052198,-0.3821983,-23.02381,23.478,-104.6183,-32.02669,26.11184,-136.4363,Unknown
-0.4404297,-0.8071289,0.5407715,-0.8641985,2.308634,0.5799466,-38.09795,20.87707,-46.94863,-49.17001,24.38627,-59.53892,-0.2094727,-0.2543945,-0.3417969,-0.3351984,2.426244,0.182687,-23.21624,23.56771,-105.2441,-32.39888,26.18015,-136.0461,Unknown
-0.4492188,-0.8088379,0.546875,-0.8947329,2.217031,0.5494123,-38.32544,20.98625,-47.18985,-48.81454,24.7068,-59.41346,-0.2089844,-0.248291,-0.3430176,-0.3504658,2.151435,0.1216183,-23.39152,23.65333,-105.8692,-31.72241,26.26765,-136.586,Unknown
-0.4494629,-0.8146973,0.5366211,-0.6199236,1.926954,0.8700229,-38.55466,21.08959,-47.43379,-49.33094,24.73688,-60.0267,-0.2097168,-0.244873,-0.3393555,-0.4115343,1.785023,0.3353589,-23.56019,23.7371,-106.4765,-31.54278,26.61729,-136.4674,Unknown
-0.4538574,-0.8168945,0.5244141,-0.5283206,1.743748,0.0,-38.7842,21.19288,-47.69912,-49.66891,25.05796,-60.70031,-0.1989746,-0.239502,-0.3464355,-1.08329,1.58655,0.6254351,-23.72375,23.79144,-107.0988,-30.94221,25.28793,-138.0513,Unknown
-0.4790039,-0.8312988,0.5053711,0.06709921,1.575809,0.0,-39.00853,21.31647,-47.98959,-50.04997,26.21409,-62.22234,-0.2099609,-0.2397461,-0.3427734,-1.205428,1.632351,0.9460459,-23.88326,23.87269,-107.6847,-30.81323,26.65405,-137.0854,Unknown
-0.4462891,-0.7941895,0.5407715,3.700687,-0.08831299,0.0,-39.14516,21.38713,-48.21592,-48.56044,24.91434,-59.30639,-0.2216797,-0.2514648,-0.3430176,-0.381,-0.1997099,0.2284887,-24.04362,23.94287,-108.2408,-31.62098,27.52893,-135.6582,Unknown
-0.4475098,-0.8015137,0.5341797,1.242672,-0.347855,1.251702,-39.32391,21.45267,-48.42929,-48.99535,24.91971,-59.80457,-0.2192383,-0.2434082,-0.3479004,0.0,0.3957099,0.3658931,-24.17519,24.01563,-108.8054,-30.62215,27.30934,-136.7225,Unknown
-0.4489746,-0.8024902,0.5314941,1.380076,0.1254275,1.358572,-39.5,21.52547,-48.64151,-49.07519,25.00667,-59.97231,-0.2097168,-0.2441406,-0.3586426,0.0,0.746855,0.5643663,-24.30049,24.06227,-109.3829,-30.44027,25.79825,-138.0951,Unknown
-0.4526367,-0.8051758,0.5334473,0.9220611,0.2017633,1.618114,-39.6767,21.60012,-48.84475,-49.01315,25.10961,-59.99259,-0.2041016,-0.2390137,-0.3459473,-0.9306183,0.6094504,0.6865039,-24.44326,24.10782,-109.94,-30.7549,25.89177,-137.7442,Unknown
