xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4899902,-0.8557129,0.3364258,0.4182443,1.102527,0.5036107,-31.06967,15.3564,-40.03386,-55.21664,28.05335,-71.16147,-0.1245117,-0.244873,-0.3837891,-0.8695498,0.05983204,0.3964274,-18.53628,7.216827,-82.42514,-31.25358,15.29627,-144.4055,Unknown
-0.4880371,-0.8596191,0.3276367,0.1892367,1.51474,0.2135344,-31.55838,15.62898,-40.66349,-55.63536,27.94637,-71.66224,-0.1191406,-0.239502,-0.3911133,-0.5184045,0.1667023,0.350626,-18.7804,7.366191,-83.68408,-30.36109,14.5625,-145.6301,Unknown
-0.4921875,-0.8549805,0.3366699,-0.08557248,1.575809,-0.03074045,-32.03058,15.90307,-41.27381,-55.10561,28.17525,-71.15691,-0.1164551,-0.2421875,-0.3908691,-0.09092379,0.8537251,0.4727633,-19.02018,7.515658,-84.91327,-30.70257,14.21206,-145.4906,Unknown
-0.4921875,-0.8620605,0.3251953,-0.1161069,2.00329,-0.4429542,-32.50399,16.17667,-41.89207,-55.61582,28.11104,-71.8614,-0.1166992,-0.2375488,-0.3894043,0.4739618,1.20487,0.3811603,-19.23927,7.66889,-86.12572,-30.30007,14.35073,-145.7973,Unknown
-0.4873047,-0.8586426,0.322998,0.128168,2.125427,0.0,-32.96716,16.44184,-42.49191,-55.7499,27.97675,-71.88409,-0.1147461,-0.2399902,-0.3925781,0.8709083,1.601817,0.5490992,-19.44975,7.819117,-87.31269,-30.40302,14.00289,-145.8784,Unknown
-0.4880371,-0.8525391,0.328125,0.2350382,2.201763,0.0,-33.4124,16.70763,-43.07266,-55.40184,28.11325,-71.52955,-0.1118164,-0.2480469,-0.390625,0.0,1.80029,0.4574962,-19.68882,7.959134,-88.46298,-31.40328,13.58494,-145.1413,Unknown
-0.4938965,-0.8444824,0.3598633,-0.2077099,1.239931,-0.8093664,-34.47402,18.51657,-45.05027,-54.10934,28.28187,-69.80431,-0.1384277,-0.2285156,-0.3830566,3.603733,-1.146275,-0.2142596,-18.9314,10.05728,-90.96462,-29.2945,17.24163,-145.1051,Unknown
-0.4870605,-0.8486328,0.3562012,0.2961069,-0.5921298,-0.4124198,-34.87219,18.69588,-45.55486,-54.5856,27.88816,-69.99654,-0.1342773,-0.2316895,-0.380127,1.145718,-1.253145,0.259023,-19.12466,10.16359,-92.03622,-29.88612,16.78496,-144.8365,Unknown
-0.479248,-0.8505859,0.3554688,0.5098474,-0.07304579,-0.946771,-35.26226,18.86968,-46.06497,-54.95024,27.4682,-69.99368,-0.1337891,-0.2412109,-0.3859863,2.290756,-0.8867329,1.46513,-19.3197,10.27488,-93.06296,-30.56003,16.38019,-144.45,Unknown
-0.4785156,-0.8461914,0.364502,0.0,1.224664,0.0,-35.64885,19.0592,-46.53259,-54.59219,27.4455,-69.44618,-0.1342773,-0.2431641,-0.3840332,2.244954,-0.2760458,2.197954,-19.51764,10.39448,-94.05182,-30.86685,16.45773,-144.1214,Unknown
-0.4772949,-0.8491211,0.357666,1.838092,1.926954,-1.649061,-36.00716,19.25405,-47.02293,-54.91521,27.38527,-69.83746,-0.1347656,-0.251709,-0.390625,1.771672,0.02929771,1.999481,-19.72993,10.51044,-95.02007,-31.34736,16.17249,-143.8362,Unknown
-0.4851074,-0.8522949,0.3581543,1.166336,2.171229,-1.236847,-36.36543,19.4525,-47.49819,-54.72073,27.68734,-69.93732,-0.1311035,-0.2490234,-0.3950195,1.069382,0.5636489,1.938412,-19.93747,10.62217,-95.98183,-30.89275,15.68255,-144.5325,Unknown
-0.4892578,-0.854248,0.3632813,0.8457253,2.323901,-0.4124198,-36.71564,19.65345,-47.94918,-54.49765,27.79172,-69.74467,-0.1306152,-0.2348633,-0.3894043,0.1533511,0.9300611,1.266656,-20.13185,10.74299,-96.9526,-29.76197,16.02539,-145.3893,Unknown
-0.4960938,-0.8549805,0.3466797,0.2350382,2.201763,0.0,-37.07222,19.85594,-48.40366,-54.70608,28.26766,-70.67329,-0.130127,-0.2429199,-0.3925781,-1.068023,0.0,0.8544428,-20.35347,10.84296,-97.89963,-30.42807,15.7415,-144.9323,Unknown
