xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.08813477,-0.1369629,-0.4465332,0.03121376,-0.3981832,-0.0005190372,-13.61726,7.690537,0.6832281,-16.74756,10.68599,-0.6262207,-0.4020996,0.8039551,-0.1924427,-0.1035802,-0.09180916,-17.29515,28.29016,0.09786911,-21.53303,34.86297,Unknown
-0.08422852,-0.138916,-0.4477539,0.1228168,-0.2149771,0.0147481,-13.68237,7.737485,0.6834346,-16.95662,10.18539,-0.6235352,-0.4020996,0.7897949,0.6777863,0.06435877,-0.2750153,-17.37558,28.4278,0.0940189,-21.78143,35.12855,Unknown
-0.08276367,-0.135498,-0.4423828,0.3823588,0.227771,-0.2905953,-13.73858,7.7887,0.6793663,-16.75536,10.14198,-0.6254883,-0.4074707,0.7783203,0.6319848,-0.08831299,-0.06127481,-17.46338,28.56703,0.09316105,-22.19937,35.44978,Unknown
-0.08911133,-0.1401367,-0.4550781,0.489229,0.487313,-0.1226563,-13.79291,7.852087,0.6775265,-16.81485,10.59991,-0.6254883,-0.4038086,0.7788086,0.128168,-0.179916,0.06086259,-17.55246,28.70282,0.094074,-22.01141,35.48862,Unknown
-0.08422852,-0.1381836,-0.4509277,0.1228168,0.2125039,0.06054974,-13.85065,7.900477,0.6783742,-16.76403,10.12581,-0.6401367,-0.4084473,0.7902832,-0.03977096,-0.2257175,0.2593359,-17.63957,28.84043,0.09770471,-21.88105,35.73816,Unknown
-0.08398438,-0.1413574,-0.4519043,-0.1825268,-0.4287176,0.2132213,-13.91804,7.937746,0.6813593,-17.09465,10.05797,-0.6257324,-0.4089355,0.7912598,0.1739695,-0.1035802,0.3662061,-17.72573,28.96399,0.1028316,-22.06651,35.08916,Unknown
-0.0859375,-0.1320801,-0.4433594,-0.197794,-0.5355878,0.091084,-13.96844,7.982114,0.6826344,-16.3023,10.52357,-0.6096191,-0.4069824,0.7927246,0.05183208,-0.07304579,0.03032825,-17.8134,29.07125,0.1032562,-22.14498,34.37701,Unknown
-0.08569336,-0.1306152,-0.4443359,-0.289397,-0.6729923,0.1674199,-14.01504,8.022894,0.6849784,-16.10011,10.4828,-0.6254883,-0.4030762,0.7993164,0.06709921,0.03382444,-0.07654199,-17.88941,29.18914,0.1021846,-21.65978,34.94262,Unknown
-0.08300781,-0.1350098,-0.4482422,-0.1061909,-0.3523817,-0.1226563,-14.06625,8.058356,0.6831386,-16.49733,10.05498,-0.6257324,-0.4020996,0.7924805,0.3571756,0.1864962,-0.07654199,-17.96064,29.31111,0.1010365,-21.71357,35.15066,Unknown
-0.08935547,-0.137207,-0.458252,0.1991527,-0.1691756,0.2437558,-14.10992,8.10665,0.6863074,-16.37696,10.58083,-0.6291504,-0.4023438,0.7790527,0.1587023,0.1254275,-0.06127481,-18.0372,29.4397,0.1002399,-21.88982,35.66099,Unknown
-0.0859375,-0.1384277,-0.4516602,0.06174803,0.02929771,-0.1226563,-14.162,8.151127,0.6845901,-16.75625,10.31038,-0.6269531,-0.4116211,0.7922363,0.0976336,-0.179916,-0.03074045,-18.11846,29.55,0.09980953,-22.16717,35.07814,Unknown
-0.08618164,-0.1357422,-0.4501953,0.1991527,0.1972366,0.04528236,-14.20576,8.198723,0.6852694,-16.49618,10.38598,-0.626709,-0.4069824,0.7849121,0.2503054,-0.179916,0.07612977,-18.19356,29.66296,0.1009515,-22.05745,35.33002,Unknown
-0.09106445,-0.138916,-0.4475098,-0.04512215,-0.1386412,0.3200917,-14.26064,8.252806,0.6897507,-16.91902,10.99796,-0.6293945,-0.4038086,0.7895508,0.1739695,-0.08831299,0.2746031,-18.26325,29.77577,0.1047959,-21.79759,35.36407,Unknown
-0.08374023,-0.1318359,-0.4533691,-0.04512215,-0.01650381,-0.1837251,-14.29521,8.288671,0.6871785,-15.95813,10.05739,-0.6328125,-0.4033203,0.7995605,0.00603056,-0.1646488,0.183,-18.32952,29.88293,0.1073579,-21.58058,35.24651,Unknown
-0.07861328,-0.1367188,-0.4431152,-0.4268017,-0.4439847,-0.04632068,-14.35313,8.309237,0.68653,-16.89858,9.621578,-0.625,-0.4025879,0.784668,0.2045038,-0.02724427,-0.03074045,-18.39745,29.99138,0.1069275,-21.86658,35.32452,Unknown
